Wavelength,Intensity,Comment,Use
4261.99,1000,add,Y
5400.5618,3000,add,Y
5764.419,3453,add,Y
5820.156,1982,add,Y
5852.488,20000,increase,Y
5881.895,8539,,Y
5944.834,15257,,Y
5975.5318,4000,add,Y
6029.997,4652,,Y
6074.338,13396,,Y
6096.161,21700,,Y
6143.063,33330,,Y
6163.594,11344,,Y
6217.281,13705,,Y
6266.495,21747,,Y
6304.789,10226,,Y
6334.428,36235,,Y
6382.991,35824,,Y
6402.248,70163,,Y
6506.528,46165,,Y
6532.882,21413,,Y
6598.953,26396,,Y
6652.093,535,,Y
6678.277,51338,,Y
6717.043,36780,,Y
6738.032,534,add,Y
6752.834,700,ar increase,Y
6871.289,700,ar increase,Y
6929.467,55590,,Y
6965.431,5618.4,ar,Y
7024.050,5000,add decrease,Y
7032.413,100000,,Y
7059.108,839,,Y
7067.218,2598.7,ar,Y
7147.042,407.2,ar,Y
7173.938,5000,decrease,Y
7245.167,73545,,Y
7272.936,2022.5,ar,Y
7372.118,700,ar increase,Y
7383.981,5557.5,ar,Y
7438.898,15000,decrease,Y
7472.438,521,,Y
7488.871,10000,increase,Y
7503.869,30000,ar increase,Y
7514.652,13000,ar increase,Y
7535.774,8000,increase,Y
7544.044,4000,increase,Y
7635.106,20000,ar decrease,Y
8006.157,2500,ar decrease,Y
8014.786,3000,ar decrease,Y
8082.458,1484,,Y
8103.693,8152.5,ar,Y
8115.311,23497.5,ar,Y
8136.406,1621,,Y
8264.523,9607.5,ar,Y
8300.325,3531,,Y
8377.607,14543,,Y
8408.210,7525.0,ar,Y
8424.648,8000,ar decrease,Y
8463.357,378,,Y
8495.359,8765,,Y
8521.442,4537.5,ar,Y
8544.695,186,,Y
8571.354,233,,Y
8591.258,2000,decrease,Y
8634.647,3059,,Y
8654.383,3000,decrease,Y
8667.944,702.5,ar,Y
8704.112,291,,Y
8780.6226,3500,acs-add ne,Y
8783.7533,900,acs-add ne,Y
8853.867,1820,,Y
8865.7552,1000,acs-add ne,Y
8919.501,447,,Y
8988.556,173,,Y
9122.967,8000,ar decrease,Y
9148.672,529,,Y
9194.639,36.5,ar,Y
9201.759,382,,Y
9224.499,3205.1,ar,Y
9275.519,35,,Y
9300.853,244,,Y
9326.507,213,,Y
9354.220,181.5,ar,Y
9657.786,4104.1,ar,Y
9784.503,344.2,ar,Y
